City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,adamstown,-25.066,-130.1015,72.9,79,100,11.39,PN,1698505218
1,usogorsk,63.4106,48.6872,25.66,83,100,9.95,RU,1698505257
2,juli,-16.2167,-69.45,55.69,28,76,5.17,PE,1698505258
3,san patricio,28.017,-97.5169,84.85,75,2,11.48,US,1698505258
4,thunder bay,48.4001,-89.3168,31.98,80,75,2.3,CA,1698505258
5,ostersund,63.1792,14.6357,29.61,74,100,6.91,SE,1698505259
6,lazaro cardenas,17.9583,-102.2,80.65,78,95,2.84,MX,1698505259
7,makeni,8.8833,-12.05,86.68,68,97,1.54,SL,1698505259
8,ebon,4.582,168.6964,80.76,77,62,8.81,MH,1698505260
9,bilibino,68.0546,166.4372,6.19,90,63,3.83,RU,1698505260
10,new plymouth,-39.0667,174.0833,48.81,60,92,11.27,NZ,1698505260
11,grytviken,-54.2811,-36.5092,29.48,95,100,7.14,GS,1698505261
12,georgetown,5.4112,100.3354,80.53,94,40,3.44,MY,1698505094
13,tiksi,71.6872,128.8694,3.65,93,100,2.86,RU,1698505261
14,usinsk,65.9939,57.5281,10.08,91,28,3.0,RU,1698505261
15,luderitz,-26.6481,15.1594,59.7,72,0,41.56,NA,1698505261
16,invercargill,-46.4,168.35,45.01,93,66,3.0,NZ,1698505261
17,okha,53.5739,142.9478,36.19,77,100,12.73,RU,1698505262
18,phrae,18.0833,100.0,72.28,94,100,0.27,TH,1698505262
19,hamilton,39.1834,-84.5333,62.04,94,100,15.01,US,1698505041
20,jamestown,42.097,-79.2353,57.52,96,100,12.66,US,1698505065
21,gizo,-8.103,156.8419,81.91,77,96,9.4,SB,1698505263
22,geraldton,-28.7667,114.6,63.01,77,0,18.41,AU,1698505264
23,anchorage,61.2181,-149.9003,41.13,78,0,5.75,US,1698505147
24,port elizabeth,-33.918,25.5701,59.29,92,75,13.8,ZA,1698505264
25,nemuro,43.3236,145.575,53.73,75,73,2.35,JP,1698505264
26,puerto natales,-51.7236,-72.4875,36.05,93,100,6.91,CL,1698505265
27,susuman,62.7833,148.1667,0.99,99,50,1.01,RU,1698505265
28,rio preto da eva,-2.6994,-59.6997,102.18,24,20,7.05,BR,1698505265
29,zarand,30.8127,56.564,67.35,36,0,6.6,IR,1698505265
30,castillos,-34.1667,-53.8333,73.49,66,88,5.14,UY,1698505265
31,roma,43.2128,-75.4557,66.96,96,100,10.36,US,1698505266
32,utrik,11.2278,169.8474,83.12,75,81,18.16,MH,1698505266
33,waitangi,-43.9535,-176.5597,49.82,83,59,11.99,NZ,1698505261
34,tutoia,-2.7619,-42.2744,88.68,57,61,17.16,BR,1698505266
35,port mathurin,-19.6833,63.4167,76.66,77,11,9.15,MU,1698505265
36,sisimiut,66.9395,-53.6735,24.37,76,74,10.98,GL,1698505267
37,midvagur,62.0511,-7.1939,45.43,65,75,13.8,FO,1698505267
38,papatowai,-46.5619,169.4708,40.75,91,31,6.8,NZ,1698505267
39,port-aux-francais,-49.35,70.2167,41.31,98,100,16.58,TF,1698505268
40,turkestan,43.3333,68.25,65.75,48,100,2.28,KZ,1698505268
41,mora,11.0461,14.1401,97.34,17,9,7.52,CM,1698505268
42,iqaluit,63.7506,-68.5145,11.93,85,20,4.61,CA,1698505111
43,isafjordur,66.0755,-23.124,37.44,81,20,2.3,IS,1698505268
44,blackmans bay,-43.0167,147.3167,50.74,67,43,9.1,AU,1698505248
45,ilulissat,69.2167,-51.1,24.82,80,100,9.22,GL,1698505270
46,alvarado,18.7667,-95.7667,81.7,71,91,5.32,MX,1698505271
47,basco,20.4487,121.9702,79.61,78,17,12.15,PH,1698505271
48,nyurba,63.2842,118.3319,17.4,93,100,5.37,RU,1698505271
49,pazarcik,37.4869,37.2996,77.2,40,8,2.04,TR,1698505278
50,santa rosa misiones,-26.8667,-56.85,77.36,91,100,7.05,PY,1698505281
51,alofi,-19.0595,-169.9187,73.29,78,84,10.36,NU,1698505295
52,st. john's,47.5649,-52.7093,52.68,98,100,20.71,CA,1698505072
53,sitka,57.0531,-135.33,40.08,84,46,3.18,US,1698505295
54,mar del plata,-38.0023,-57.5575,79.52,57,0,11.5,AR,1698505230
55,talara,-4.5772,-81.2719,75.96,69,75,17.27,PE,1698505295
56,kingston,17.997,-76.7936,85.24,72,40,8.05,JM,1698505062
57,vadso,70.0744,29.7487,30.36,80,75,9.22,NO,1698505224
58,salto de agua,17.6167,-92.3667,79.56,81,22,7.16,MX,1698505296
59,atafu village,-8.5421,-172.5159,82.26,75,50,4.88,TK,1698505296
60,gisborne,-38.6533,178.0042,47.57,69,100,2.98,NZ,1698505296
61,la passe,45.5549,-0.8967,65.01,72,100,23.76,FR,1698505296
62,edinburgh of the seven seas,-37.0676,-12.3116,58.42,93,100,12.46,SH,1698505297
63,saint-pierre,-21.3393,55.4781,78.48,73,0,18.41,RE,1698505297
64,kiruna,67.8557,20.2251,7.72,85,59,3.44,SE,1698505297
65,mount gambier,-37.8333,140.7667,41.65,91,87,2.39,AU,1698505297
66,east london,-33.0153,27.9116,61.74,77,20,24.16,ZA,1698505224
67,gibara,21.1097,-76.1317,82.0,69,29,8.86,CU,1698505298
68,dali,25.7,100.1833,54.03,73,19,4.25,CN,1698505298
69,shahdad kot,27.8477,67.9055,82.99,22,79,4.61,PK,1698505298
70,zouerate,22.7187,-12.4521,92.28,18,0,5.19,MR,1698505083
71,xai-xai,-25.0519,33.6442,78.62,64,36,13.29,MZ,1698505299
72,amga,60.8953,131.9608,10.26,96,83,3.4,RU,1698505299
73,olonkinbyen,70.9221,-8.7187,30.42,78,89,6.46,SJ,1698505299
74,ushuaia,-54.8,-68.3,42.42,45,75,4.61,AR,1698505299
75,badagry,6.4167,2.8833,85.71,66,15,9.46,NG,1698505299
76,arno,60.1167,18.6333,36.79,67,91,7.27,SE,1698505300
77,taroa,8.7058,171.2275,82.83,78,81,16.55,MH,1698505300
78,longyearbyen,78.2186,15.6401,24.64,93,75,6.91,SJ,1698505300
